Trial,Species,Dosage Level,Tank,Standard length,Weight
Gavage,CAP,0.026 g,6,113,65.73
Gavage,CAP,0.026 g,7,125,83.7
Gavage,CAP,0.026 g,7,123,81.67
Gavage,CAP,0.026 g,7,126,89.26
Gavage,CAP,0.026 g,7,116,46
Gavage,CAP,0.026 g,7,105,48.47
Gavage,CAP,0.052 g,4,124,80.6
Gavage,CAP,0.052 g,4,125,78.62
Gavage,CAP,0.052 g,4,137,110.42
Gavage,CAP,0.052 g,4,125,79.69
Gavage,CAP,0.052 g,4,108,53.85
Gavage,CAP,0.052 g,5,120,69.75
Gavage,CAP,0.052 g,5,100,55.47
Gavage,CAP,0.052 g,5,124,76.33
Gavage,CAP,0.052 g,5,109,48.19
Gavage,CAP,0.052 g,5,108,41.63
Gavage,CAP,0.106 g,2,146,127.91
Gavage,CAP,0.106 g,2,119,64.42
Gavage,CAP,0.106 g,2,118,76.62
Gavage,CAP,0.106 g,2,121,72.68
Gavage,CAP,0.106 g,2,122,65.33
Gavage,CAP,0.106 g,3,115,72.41
Gavage,CAP,0.106 g,3,104,56
Gavage,CAP,0.106 g,3,94,38.26
Gavage,CAP,0.106 g,3,123,98.49
Gavage,CAP,0.106 g,3,120,66.19
Leaching,CAP,20 mg,1,86,8.38
Leaching,CAP,20 mg,1,85,8.41
Leaching,CAP,20 mg,1,90,10.64
Leaching,BLG,20 mg,1,86,11.43
Leaching,BLG,20 mg,1,86,12.15
Leaching,BLG,20 mg,1,96,15.87
Leaching,BLG,20 mg,1,112,25.65
Leaching,BLG,20 mg,1,113,29.95
Leaching,CAP,20 mg,1,132,32.35
Leaching,BLG,20 mg,1,119,32.72
Leaching,CAP,20 mg,1,132,33.02
Leaching,CAP,20 mg,1,140,36.76
Leaching,CAP,20 mg,2,79,7
Leaching,CAP,20 mg,2,87,9.54
Leaching,CAP,20 mg,2,95,12.39
Leaching,BLG,20 mg,2,92,13.19
Leaching,BLG,20 mg,2,90,13.95
Leaching,BLG,20 mg,2,98,16.83
Leaching,CAP,20 mg,2,115,18.24
Leaching,CAP,20 mg,2,110,19.01
Leaching,CAP,20 mg,2,120,22.84
Leaching,BLG,20 mg,2,102,23.83
Leaching,BLG,20 mg,2,116,26.83
